Unnamed: 0,abstract,abstract_url,access_type,article_number,citing_paper_count,citing_patent_count,content_type,doi,end_page,html_url,is_number,issn,issue,pdf_url,publication_date,publication_number,publication_title,publication_year,publisher,rank,start_page,title,volume,authors.authors,index_terms.author_terms.terms,index_terms.ieee_terms.terms
180,"A three-phase onboard charger, integrated with the propulsion system of a plug-in electric vehicle, is presented. It is constructed by connecting an add-on three-phase power electronics interface to the propulsion system. The propulsion motor is utilized as a coupled DC inductor for the charger. The charging power level of the proposed charger could be as high as that of the propulsion system. The charger topology is capable of three-phase power factor (PF) correction and battery voltage/current regulation. Detailed analyses of the circuit operation and modeling of the circuit are presented. Experimental results of a 3.3-kW three-phase integrated charger, using a permanent magnet synchronous machine (PMSM), are provided. A nearly unity PF and 4.77% total harmonic distortion are obtained with a maximum efficiency of 92.6%.",https://ieeexplore.ieee.org/document/7981359/,LOCKED,7981359,54,0,Journals,10.1109/TPEL.2017.2727398,4725,https://ieeexplore.ieee.org/document/7981359/,8299601,1941-0107,6.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7981359,June 2018,63,IEEE Transactions on Power Electronics,2018,IEEE,181,4716,A Three-Phase Integrated Onboard Charger for Plug-In Electric Vehicles,33,"[{'affiliation': 'Maryland Power Electronics Laboratory, Electrical and Computer Engineering Department, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085707751', 'author_order': 1, 'full_name': 'Chuan Shi', 'id': 37085707751}, {'affiliation': 'Maryland Power Electronics Laboratory, Electrical and Computer Engineering Department, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37855331900', 'author_order': 2, 'full_name': 'Yichao Tang', 'id': 37855331900}, {'affiliation': 'Maryland Power Electronics Laboratory, Electrical and Computer Engineering Department, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37297731800', 'author_order': 3, 'full_name': 'Alireza Khaligh', 'id': 37297731800}]","['Electric vehicle', 'high power level', 'integrated charger', 'off-board charger', 'onboard charger', 'power factor (PF) correction', 'permanent magnet synchronous machine', 'three-phase']","['Propulsion', 'Permanent magnet motors', 'Induction motors', 'Stator windings', 'Synchronous motors']"
181,"The conventional state-of-charge (SoC) estimation methods based on the equivalent circuit model (ECM) integrate all state variables into one augmented state vector. However, the correlations between RC voltages and SoC degrade the stability and accuracy of the estimates. To address this problem, this paper presents an adaptive SoC estimation method based on the split battery model, which divides the conventional augmented battery model into two submodels: the RC voltage submodel and the SoC submodel. Hence, the cross interference between RC voltages and SoC is reduced, which effectively reduces the oscillation in the estimation and improves the estimation accuracy. In addition, the adaptive algorithm is applied on the SoC submodel to improve the system robustness to noise disturbances. A case of a second-order ECM is analyzed and two types of Lithium-ion batteries are employed to verify the universality of the proposed method. Experimental results show that the undesired oscillation is eliminated during the convergence stage and the maximum SoC error is within 1% over a wide SoC range.",https://ieeexplore.ieee.org/document/7984834/,LOCKED,7984834,57,0,Journals,10.1109/TVT.2017.2728806,10898,https://ieeexplore.ieee.org/document/7984834/,8207705,1939-9359,12.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7984834,Dec. 2017,25,IEEE Transactions on Vehicular Technology,2017,IEEE,182,10889,Adaptive State-of-Charge Estimation Based on a Split Battery Model for Electric Vehicle Applications,66,"[{'affiliation': 'Department of Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085665528', 'author_order': 1, 'full_name': 'Jufeng Yang', 'id': 37085665528}, {'affiliation': 'Department of Electrical and Computer Engineering, San Diego State University, San Diego, CA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085402570', 'author_order': 2, 'full_name': 'Bing Xia', 'id': 37085402570}, {'affiliation': 'Department of Electrical and Computer Engineering, San Diego State University, San Diego, CA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085418248', 'author_order': 3, 'full_name': 'Yunlong Shang', 'id': 37085418248}, {'affiliation': 'Department of Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37399173100', 'author_order': 4, 'full_name': 'Wenxin Huang', 'id': 37399173100}, {'affiliation': 'Department of Electrical and Computer Engineering, San Diego State University, San Diego, CA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37548949100', 'author_order': 5, 'full_name': 'Chunting Chris Mi', 'id': 37548949100}]","['Adaptive extended Kalman filter (AEKF)', 'electric vehicles (EVs)', 'Lithium-ion batteries', 'state-of-charge (SoC)', 'split battery model (SBM)']","['Estimation', 'Batteries', 'Kalman filters', 'Adaptation models', 'Battery charge measurement', 'Extraterrestrial measurements', 'Electronic countermeasures']"
182,"Plug-in electric vehicles (PEVs) are equipped with onboard level-1 or level-2 chargers for home overnight or office daytime charging. In addition, off-board chargers can provide fast charging for traveling long distances. However, off-board high-power chargers are bulky, expensive, and require comprehensive evolution of charging infrastructures. An integrated onboard charger capable of fast charging of PEVs will combine the benefits of both the conventional onboard and off-board chargers, without additional weight, volume, and cost. In this paper, an innovative single-phase integrated charger, using the PEV propulsion machine and its traction converter, is introduced. The charger topology is capable of power factor correction and battery voltage/current regulation without any bulky add-on components. Ac machine windings are utilized as mutually coupled inductors, to construct a two-channel interleaved boost converter. The circuit analyses of the proposed technology, based on a permanent magnet synchronous machine (PMSM), are discussed in details. Experimental results of a 3-kW proof-of-concept prototype are carried out using a 220-V<sub>rm s</sub>, 3-phase, 8-pole PMSM. A nearly unity power factor and 3.96% total harmonic distortion of input ac current are acquired with a maximum efficiency of 93.1%.",https://ieeexplore.ieee.org/document/7984836/,LOCKED,7984836,70,0,Journals,10.1109/TVT.2017.2729345,10910,https://ieeexplore.ieee.org/document/7984836/,8207705,1939-9359,12.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7984836,Dec. 2017,25,IEEE Transactions on Vehicular Technology,2017,IEEE,183,10899,A Single-Phase Integrated Onboard Battery Charger Using Propulsion System for Plug-in Electric Vehicles,66,"[{'affiliation': 'Maryland Power Electronics Laboratory, Department of Electrical and Computer Engineering, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085707751', 'author_order': 1, 'full_name': 'Chuan Shi', 'id': 37085707751}, {'affiliation': 'Maryland Power Electronics Laboratory, Department of Electrical and Computer Engineering, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37855331900', 'author_order': 2, 'full_name': 'Yichao Tang', 'id': 37855331900}, {'affiliation': 'Maryland Power Electronics Laboratory, Department of Electrical and Computer Engineering, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37297731800', 'author_order': 3, 'full_name': 'Alireza Khaligh', 'id': 37297731800}]","['Electric vehicle', 'integrated charger', 'interleaved boost converter', 'off-board charger', 'onboard charger', 'permanent magnet synchronous machine', 'power factor correction']","['Propulsion', 'Stator windings', 'Batteries', 'AC machines', 'Inductors', 'Windings']"
183,"This paper presents a method for efficiency estimation of boost-derived continuous conduction mode power factor correction (CCM-PFC) converters for electric vehicle (EV) onboard chargers. The proposed methodology incorporates converter nonidealities, especially caused by magnetic components. The value of magnetizing inductance in an inductor or transformer core does not remain constant over variable current levels, which causes nonuniform power losses at different current levels. The method proposed in this paper considers a time-variant inductance over various current levels and accordingly establishes a dynamic model of loss estimation. As a proof-of-concept verification, the approach is applied to three different PFC topologies for EV applications and the estimated conversion efficiencies exhibit good agreement with experimentally obtained efficiency values over a wide range of load power from 400 W to 4.6 kW. The deviation of the efficiency predicted from the experimental data is considerably lower in comparison with the existing estimation methods with fixed inductance assumption.",https://ieeexplore.ieee.org/document/7990252/,LOCKED,7990252,14,0,Journals,10.1109/TTE.2017.2731622,553,https://ieeexplore.ieee.org/document/7990252/,8038884,2372-2088,3.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7990252,Sept. 2017,6687316,IEEE Transactions on Transportation Electrification,2017,IEEE,184,545,Dynamic Strategy for Efficiency Estimation in a CCM-Operated Front-End PFC Converter for Electric Vehicle Onboard Charger,3,"[{'affiliation': 'Electrical and Computer Engineering Department, Maryland Power Electronics Laboratory, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086052577', 'author_order': 1, 'full_name': 'Jiangheng Lu', 'id': 37086052577}, {'affiliation': 'Electrical and Computer Engineering Department, Maryland Power Electronics Laboratory, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085521900', 'author_order': 2, 'full_name': 'Ayan Mallik', 'id': 37085521900}, {'affiliation': 'Electrical and Computer Engineering Department, Maryland Power Electronics Laboratory, Institute for Systems Research, University of Maryland, College Park, MD, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37297731800', 'author_order': 3, 'full_name': 'Alireza Khaligh', 'id': 37297731800}]","['CCM PFC', 'dynamic', 'electric vehicle', 'loss estimation', 'on-board charger']","['Estimation', 'Magnetic cores', 'Inductance', 'Core loss', 'Inductors', 'Switches', 'Magnetic losses']"
184,"This paper presents a CMOS resonant wireless charging receiver with an active detuning mechanism for controlling the received power, without using any passive components being switched in and out. This detuning mechanism is first combined with an on-chip elliptic curve accelerator that achieves 0.77-μJ/elliptic curve scalar multiplication and in-band telemetry for authenticating a wireless charger using elliptic curve cryptography, with up to 16× rejection at the output of the receiver. Second, equitable power distribution between two receivers coupled to the same charger is demonstrated by controlled detuning of the closer receiver. The system can overcome up to a 4:1 asymmetry in distance to the charger between two receivers. Implemented in 0.18-μm CMOS, the receiver IC delivers 520-mW peak output power and 74% peak end-to-end efficiency in the tuned mode.",https://ieeexplore.ieee.org/document/8027197/,LOCKED,8027197,6,0,Journals,10.1109/JSSC.2017.2737562,246,https://ieeexplore.ieee.org/document/8027197/,8241022,1558-173X,1.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8027197,Jan. 2018,4,IEEE Journal of Solid-State Circuits,2018,IEEE,185,236,An Actively Detuned Wireless Power Receiver With Public Key Cryptographic Authentication and Dynamic Power Allocation,53,"[{'affiliation': 'Intel Labs, Hillsboro, OR, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/38581147100', 'author_order': 1, 'full_name': 'Nachiket Desai', 'id': 38581147100}, {'affiliation': 'Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/38580615800', 'author_order': 2, 'full_name': 'Chiraag Juvekar', 'id': 38580615800}, {'affiliation': 'Department of Electrical Engineering, Stanford University, Stanford, CA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086075206', 'author_order': 3, 'full_name': 'Shubham Chandak', 'id': 37086075206}, {'affiliation': 'Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37269179400', 'author_order': 4, 'full_name': 'Anantha P. Chandrakasan', 'id': 37269179400}]","['Active rectification', 'authentication', 'elliptic curve cryptography', 'security', 'wireless power transfer']","['Receivers', 'Resonant frequency', 'Wireless communication', 'Communication system security', 'Authentication', 'Couplings', 'Capacitors']"
185,"This paper proposes an interleaved Inductor-Inductor-Capacitor resonant converter with cascaded voltage-doubler circuits for deeply depleted plug-in electric vehicle battery charging. The use of voltage double circuits extends the operating range of converter by mitigating the effects of transformer's parasitic capacitors. The converter has two modes of operation: simultaneous and independent. In the former mode both interleaving converters operate together at the same frequency and in the later mode only one converter operates. In the former mode, it yields twofold higher gain compared to the later one. Thus, operation with combined mode changing and frequency control results in wider output voltage range. For confirmation, a laboratory prototype rated at input dc voltage of 400 V and output power of 1.5 kW is designed, and implemented. The results obtained from the prototype show that converter achieves a wide output voltage range of 100-420 V when operated in simultaneous mode with simple frequency control and an output voltage range of 50-100 V in the independent mode. With combined frequency and mode changing control, it achieves an output range of 50-420 V. The peak efficiency of converter was measured to be 95.65% at a peak power of 1.5 kW. Thus, the proposed converter is suitable for the dc-dc stage of on-board PEV battery charger.",https://ieeexplore.ieee.org/document/8039265/,LOCKED,8039265,18,0,Journals,10.1109/TTE.2017.2753407,98,https://ieeexplore.ieee.org/document/8039265/,8288747,2372-2088,1.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8039265,March 2018,6687316,IEEE Transactions on Transportation Electrification,2018,IEEE,186,89,Interleaved LLC Converter With Cascaded Voltage-Doubler Rectifiers for Deeply Depleted PEV Battery Charging,4,"[{'affiliation': 'Federal Urdu University of Arts, Science and Technology, Islamabad, 44000, Pakistan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085408698', 'author_order': 1, 'full_name': 'M. Imran Shahzad', 'id': 37085408698}, {'affiliation': 'Universiti Sains Malaysia, Malaysia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37425727600', 'author_order': 2, 'full_name': 'Shahid Iqbal', 'id': 37425727600}, {'affiliation': 'School of Electrical and Electronic Engineering, Universiti Sains Malaysia, Malaysia', 'authorUrl': 'https://ieeexplore.ieee.org/author/37294028700', 'author_order': 3, 'full_name': 'Soib Taib', 'id': 37294028700}]","['Deeply depleted battery charging', 'interleaved', 'LLC resonant converter', 'on-board charger', 'voltage doubler']","['Capacitors', 'Batteries', 'Voltage control', 'Frequency control', 'Resonant frequency', 'Transportation', 'Switching frequency']"
186,"Measurements of relative displacement between the components of structural steel frameworks such as those used in large buildings, bridges, ships, and offshore platforms can be used to detect overstress or impending failure. However, current approaches used to measure displacement require complex arrays of optical sensors or strain gauges. We instead present a novel low-cost wireless 3-D embedded module that uses inductive eddy-current sensing with planar printed circuit board (PCB) coils to measure relative displacement between two or more metal plates. The module is a 50-mm cube with four faces formed by the planar PCB inductors that are used for measurement of relative displacement. The other faces and the hollow center of the cube are used for a four-channel inductive sensing IC, a microcontroller with integrated 802.15.4-compatible radio, antenna, micro-USB serial connector, battery, and battery charger/monitor. The addition of temperature and humidity sensors and a microelectromechanical system inertial measurement unit makes the module into a full structural health monitoring system that can also sense environmental factors, inclination, vibration, and shock. The module was evaluated in two axes in a custom test system that allowed controlled relative movement to two orthogonal mild steel plates, as well as inclination of the plate in a different test setup. The results show that a resolution of 0.5 mm can be achieved in both axes when measuring displacement from the planar coils to the steel plates, with negligible interference between coils/plates on the adjacent faces. The displacement measurement is immune to the presence of water between the planar inductors and the steel plates, allowing the module to be used in applications exposed to high humidity and rain.",https://ieeexplore.ieee.org/document/8052221/,LOCKED,8052221,1,0,Journals,10.1109/TCPMT.2017.2749278,1773,https://ieeexplore.ieee.org/document/8052221/,8085201,2156-3985,11.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8052221,Nov. 2017,5503870,"IEEE Transactions on Components, Packaging and Manufacturing Technology",2017,IEEE,187,1765,A Novel 3-D Embedded Module for Displacement Measurement in Metal Structures,7,"[{'affiliation': 'Nimbus Centre for Embedded Systems Research, Cork Institute of Technology, Cork, Ireland', 'authorUrl': 'https://ieeexplore.ieee.org/author/37089038768', 'author_order': 1, 'full_name': 'David Rojas', 'id': 37089038768}, {'affiliation': 'Nimbus Centre for Embedded Systems Research, Cork Institute of Technology, Cork, Ireland', 'authorUrl': 'https://ieeexplore.ieee.org/author/37355980400', 'author_order': 2, 'full_name': 'John Barrett', 'id': 37355980400}]","['3-D module', 'eddy-current sensor', 'inductive displacement measurement', 'structural health monitoring', 'system in package']","['Displacement measurement', 'Coils', 'Temperature measurement', 'Inductors', 'Temperature sensors', 'Metals']"
187,"LLC resonant converter is utilized for a 3.3-kW on-board charger (OBC), where high efficiency and wide output voltage are required. In this paper, the resonant frequency and the magnetizing inductor of the converter are first optimized based on the required efficiency. Then, the resonant inductor and the resonant capacitor are designed considering the required maximum output voltage. The energy equations and the KCL and KVL equations about the converter are established by the time domain method to find out the information about peak resonant current, peak magnetizing current, and minimum switching frequency. The above-mentioned information is used to accurately design the converter`s magnetic components. A 3.3-kW prototype applied for OBC is developed. Its output voltage ranges from 230 to 430 V. Its peak efficiency is higher than 97.6%. The experimental results verify that the proposed method can accurately design the efficiency, the voltage gain, and the magnetic components of LLC resonant converter in a wide output voltage range.",https://ieeexplore.ieee.org/document/8052470/,OPEN_ACCESS,8052470,26,0,Journals,10.1109/ACCESS.2017.2757764,26665,https://ieeexplore.ieee.org/document/8052470/,7859429,2169-3536,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8052470,2017,6287639,IEEE Access,2017,IEEE,188,26653,Accurate Design of High-Efficiency LLC Resonant Converter With Wide Output Voltage,5,"[{'affiliation': 'North China Electric Power University, Beijing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086326361', 'author_order': 1, 'full_name': 'Hengshan Xu', 'id': 37086326361}, {'affiliation': 'North China Electric Power University, Beijing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37275473100', 'author_order': 2, 'full_name': 'Zhongdong Yin', 'id': 37275473100}, {'affiliation': 'North China Electric Power University, Beijing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086327536', 'author_order': 3, 'full_name': 'Yushan Zhao', 'id': 37086327536}, {'affiliation': 'North China Electric Power University, Beijing, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085841385', 'author_order': 4, 'full_name': 'Yongzhang Huang', 'id': 37085841385}]","['LLC resonant converter', 'time domain method', 'wide output voltage', 'high efficiency']","['Magnetic resonance', 'Magnetic domains', 'Inductors', 'Magnetic switching', 'Magnetic cores', 'Magnetic flux']"
188,"A new model for a viable battery swapping station is proposed to minimize its cost by determining the optimized charging schedule for swapped electric vehicle (EV) batteries. The aim is to minimize an objective function considering three factors: the number of batteries taken from stock to serve all the swapping orders from incoming EVs, potential charging damage with the use of high-rate chargers, and electricity cost for different time period of the day. A mathematical model is formulated for the charging process following the constant-current/constant-voltage charging strategy. An integrated algorithm is proposed to determine an optimal charging schedule, which is inspired by genetic algorithm, differential evolution, and particle swarm optimization. A series of simulation studies are executed to assess the feasibility of the proposed model and compare the performance between the proposed algorithm and the typical evolutionary algorithms.",https://ieeexplore.ieee.org/document/8054726/,LOCKED,8054726,55,0,Journals,10.1109/TVT.2017.2758404,895,https://ieeexplore.ieee.org/document/8054726/,8290782,1939-9359,2.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8054726,Feb. 2018,25,IEEE Transactions on Vehicular Technology,2018,IEEE,189,881,An Optimization Model for Electric Vehicle Battery Charging at a Battery Swapping Station,67,"[{'affiliation': 'Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086281494', 'author_order': 1, 'full_name': 'Hao Wu', 'id': 37086281494}, {'affiliation': 'Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong', 'authorUrl': 'https://ieeexplore.ieee.org/author/37324964100', 'author_order': 2, 'full_name': 'Grantham Kwok Hung Pang', 'id': 37324964100}, {'affiliation': 'Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong', 'authorUrl': 'https://ieeexplore.ieee.org/author/37547701800', 'author_order': 3, 'full_name': 'King Lun Choy', 'id': 37547701800}, {'affiliation': 'Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong', 'authorUrl': 'https://ieeexplore.ieee.org/author/37068934400', 'author_order': 4, 'full_name': 'Hoi Yan Lam', 'id': 37068934400}]","['Battery swapping stations', 'battery charging', 'electric vehicles', 'optimization algorithms']","['Batteries', 'Optimization', 'Schedules', 'Electric vehicles', 'Renewable energy sources', 'Mathematical model', 'Electric potential']"
189,"A high-efficiency multimode battery charger with an adaptive supply voltage (ASV) control scheme is presented in this paper. The proposed battery charger includes a charging circuit and a dc-dc buck converter. The charging circuit automatically switches among trickle current (TC), constant-current (CC), and constant-voltage (CV) modes corresponding to the battery voltage while the buck converter with ASV control generates an ASV to closely track the battery voltage, leading to significant reduction in the power loss of the charging circuit. To further enhance the efficiency of the battery charger, zero-current detection and nonswitching control schemes are employed to decrease the power consumption of the buck converter in TC and CV modes. The battery charger was implemented with a 0.35- μm CMOS 2P4M process. The experimental results are shown to verify the theoretical analysis of the proposed charger. The maximum efficiency of the overall system is 88.3%, and the maximum efficiency improvement between the proposed charger and the conventional linear charger with fixed supply voltage is up to 11.6%.",https://ieeexplore.ieee.org/document/8063975/,LOCKED,8063975,14,0,Journals,10.1109/TPEL.2017.2761816,6876,https://ieeexplore.ieee.org/document/8063975/,8350354,1941-0107,8.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8063975,Aug. 2018,63,IEEE Transactions on Power Electronics,2018,IEEE,190,6869,A High-Efficiency Integrated Multimode Battery Charger With an Adaptive Supply Voltage Control Scheme,33,"[{'affiliation': 'Department of Electrical Engineering, National Taipei University of Technology, Taipei, Taiwan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37402099200', 'author_order': 1, 'full_name': 'Pang-Jung Liu', 'id': 37402099200}, {'affiliation': 'Department of Electrical Engineering, National Taipei University of Technology, Taipei, Taiwan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085646351', 'author_order': 2, 'full_name': 'Lin-Hao Chien', 'id': 37085646351}]","['Adaptive supply voltage (ASV)', 'battery', 'charger', 'constant current (CC)', 'constant voltage (CV)', 'dc–dc converter']","['Batteries', 'Voltage control', 'Battery chargers', 'DC-DC power converters', 'Switches', 'Operational amplifiers', 'Power transistors']"
190,"Workplace charging of electric vehicles (EVs) from photovoltaic (PV) panels installed on an office building can provide several benefits. This includes the local production and use of PV energy for charging the EV and making use of dynamic tariffs from the grid to schedule the energy exchange with the grid. The long parking time at the workplace provides the chance for the EV to support the grid via vehicle-to-grid technology, the use of a single EV charger for charging several EVs by multiplexing and the offer of ancillary services to the grid for up and down regulation. Further, distribution network constraints can be considered to limit the power and prevent the overloading of the grid. A single mixed integer linear programming (MILP) formulation that considers all the above applications has been proposed in this paper for a charging a fleet of EVs from PV. The MILP is implemented as a receding-horizon model predictive energy management system. Numerical simulations based on market and PV data in Austin, TX, USA, have shown 32% to 651% reduction in the net cost of EV charging from PV when compared to immediate and average rate charging policies.",https://ieeexplore.ieee.org/document/8068996/,LOCKED,8068996,76,0,Journals,10.1109/TSG.2017.2763683,1325,https://ieeexplore.ieee.org/document/8068996/,8643651,1949-3061,2.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8068996,March 2019,5165411,IEEE Transactions on Smart Grid,2019,IEEE,191,1313,"Integrated PV Charging of EV Fleet Based on Energy Prices, V2G, and Offer of Reserves",10,"[{'affiliation': 'Department of Electrical Sustainable Energy, Delft University of Technology, Delft, The Netherlands', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085609749', 'author_order': 1, 'full_name': 'Gautham Ram Chandra Mouli', 'id': 37085609749}, {'affiliation': 'Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37592228600', 'author_order': 2, 'full_name': 'Mahdi Kefayati', 'id': 37592228600}, {'affiliation': 'Department of Electrical and Computer Engineering, University of Texas at Austin, Austin, TX, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37272303600', 'author_order': 3, 'full_name': 'Ross Baldick', 'id': 37272303600}, {'affiliation': 'Department of Electrical Sustainable Energy, Delft University of Technology, Delft, The Netherlands', 'authorUrl': 'https://ieeexplore.ieee.org/author/37274746400', 'author_order': 4, 'full_name': 'Pavol Bauer', 'id': 37274746400}]","['Charging station', 'distribution system', 'electric vehicle', 'photovoltaic system', 'regulation services', 'scheduling', 'smart charging', 'smart grids']","['Automobiles', 'State of charge', 'Employment', 'Batteries', 'Electric vehicles', 'Optimization']"
191,"In this paper, battery lifetime estimation of an electric vehicle (EV) using different driving styles on arterial roads integrating recharging scenarios in the neighborhood of the vehicle-to-grid integration is studied. The real-world driving cycles from a fleet of connected vehicles are evaluated in an EV model with different charging options. Daily utility services are added to the simulations to explore the whole day performance of the battery and its daily degradation. Fifty driving cycles from different drivers on arterial roads are classified into aggressive, mild, and gentle drivers based on their driving acceleration behavior. The standard levels 1 and 2 chargers are considered for recharging and the frequency regulation, and peak shaving and solar energy storage are assumed for the daily ancillary services. The results indicate that the aggressive driving and recharging behavior have significant effect on the battery life reduction. In addition, the daily utility services impose extra degradation of the battery. Also, the effect of temperature change on the battery degradation is explored. Simulation of active versus passive thermal management systems in three different climates shows the significant impact of the battery temperature on its capacity fade.",https://ieeexplore.ieee.org/document/8070984/,LOCKED,8070984,53,1,Journals,10.1109/TTE.2017.2764320,134,https://ieeexplore.ieee.org/document/8070984/,8288747,2372-2088,1.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8070984,March 2018,6687316,IEEE Transactions on Transportation Electrification,2018,IEEE,192,122,Electric Vehicle Battery Cycle Aging Evaluation in Real-World Daily Driving and Vehicle-to-Grid Services,4,"[{'affiliation': 'Department of Electrical and Computer Engineering, Michigan Technology University, Houghton, MI, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37394761900', 'author_order': 1, 'full_name': 'Mehdi Jafari', 'id': 37394761900}, {'affiliation': 'Department of Mechanical Engineering-Engineering Mechanics, Michigan Technology University, Houghton, MI, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085532382', 'author_order': 2, 'full_name': 'Antonio Gauchia', 'id': 37085532382}, {'affiliation': 'Department of Civil and Environmental Engineering, Michigan Technology University, Houghton, MI, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37086326719', 'author_order': 3, 'full_name': 'Shuaidong Zhao', 'id': 37086326719}, {'affiliation': 'Department of Civil and Environmental Engineering, Michigan Technology University, Houghton, MI, USA', 'authorUrl': 'https://ieeexplore.ieee.org/author/37085361487', 'author_order': 4, 'full_name': 'Kuilin Zhang', 'id': 37085361487}, {'affiliation': 'Department of Electrical and Computer Engineering', 'authorUrl': 'https://ieeexplore.ieee.org/author/37669467200', 'author_order': 5, 'full_name': 'Lucia Gauchia', 'id': 37669467200}]","['Batteries', 'capacity fade', 'electric vehicle', 'V2G services']","['Batteries', 'Aging', 'Mathematical model', 'Vehicles', 'Data models']"
